day,win,rule,n,risk
20260720,EU  07:00-16:00,ORB OR15,2,4.297009369261692
20260720,EU  07:00-16:00,ORB OR30,2,7.013787907708522
20260720,EU  07:00-16:00,pullback OR15,2,6.023443058182765
20260720,EU  07:00-16:00,pullback OR30,2,5.0535291838023495
20260720,EU- 07:00-13:30,ORB OR15,2,4.297009369261692
20260720,EU- 07:00-13:30,ORB OR30,2,7.013787907708522
20260720,EU- 07:00-13:30,pullback OR15,2,6.023443058182765
20260720,EU- 07:00-13:30,pullback OR30,2,5.0535291838023495
20260720,US  13:30-20:00,ORB OR15,2,9.44191608523964
20260720,US  13:30-20:00,ORB OR30,2,10.614090177826338
20260720,US  13:30-20:00,pullback OR15,2,14.597331314469827
20260720,US  13:30-20:00,pullback OR30,2,10.168879100458922
20260720,US* 13:30-18:30,ORB OR15,2,9.44191608523964
20260720,US* 13:30-18:30,ORB OR30,2,10.614090177826338
20260720,US* 13:30-18:30,pullback OR15,2,14.597331314469827
20260720,US* 13:30-18:30,pullback OR30,1,10.848524996344178
20260721,EU  07:00-16:00,ORB OR15,2,3.344270029164772
20260721,EU  07:00-16:00,ORB OR30,2,2.811374163664561
20260721,EU  07:00-16:00,pullback OR15,2,4.768656716417976
20260721,EU  07:00-16:00,pullback OR30,2,4.609967404357088
20260721,EU- 07:00-13:30,ORB OR15,2,3.344270029164772
20260721,EU- 07:00-13:30,ORB OR30,2,2.811374163664561
20260721,EU- 07:00-13:30,pullback OR15,2,4.768656716417976
20260721,EU- 07:00-13:30,pullback OR30,2,4.609967404357088
20260721,US  13:30-20:00,ORB OR15,2,12.587801953058452
20260721,US  13:30-20:00,ORB OR30,2,11.549169093712274
20260721,US  13:30-20:00,pullback OR15,2,13.735651875964178
20260721,US  13:30-20:00,pullback OR30,2,4.702758266232779
20260721,US* 13:30-18:30,ORB OR15,2,12.587801953058452
20260721,US* 13:30-18:30,ORB OR30,2,11.549169093712274
20260721,US* 13:30-18:30,pullback OR15,2,13.735651875964178
20260721,US* 13:30-18:30,pullback OR30,2,4.702758266232779
20260722,EU  07:00-16:00,ORB OR15,2,4.098071164642142
20260722,EU  07:00-16:00,ORB OR30,2,4.362000979356327
20260722,EU  07:00-16:00,pullback OR15,2,4.868860768193509
20260722,EU  07:00-16:00,pullback OR30,2,5.635593584357666
20260722,EU- 07:00-13:30,ORB OR15,2,4.098071164642142
20260722,EU- 07:00-13:30,ORB OR30,2,4.362000979356327
20260722,EU- 07:00-13:30,pullback OR15,2,4.868860768193509
20260722,EU- 07:00-13:30,pullback OR30,2,5.635593584357666
20260722,US  13:30-20:00,ORB OR15,2,10.008555666197434
20260722,US  13:30-20:00,ORB OR30,2,8.62076365759047
20260722,US  13:30-20:00,pullback OR15,2,11.33339628472354
20260722,US  13:30-20:00,pullback OR30,0,
20260722,US* 13:30-18:30,ORB OR15,2,10.008555666197434
20260722,US* 13:30-18:30,ORB OR30,2,8.62076365759047
20260722,US* 13:30-18:30,pullback OR15,2,11.33339628472354
20260722,US* 13:30-18:30,pullback OR30,0,
20260724,EU  07:00-16:00,ORB OR15,2,4.74243472220985
20260724,EU  07:00-16:00,ORB OR30,2,4.176260976912751
20260724,EU  07:00-16:00,pullback OR15,2,6.494217148060526
20260724,EU  07:00-16:00,pullback OR30,2,15.133474001243759
20260724,EU- 07:00-13:30,ORB OR15,2,4.74243472220985
20260724,EU- 07:00-13:30,ORB OR30,2,4.176260976912751
20260724,EU- 07:00-13:30,pullback OR15,2,6.494217148060526
20260724,EU- 07:00-13:30,pullback OR30,0,
20260724,US  13:30-20:00,ORB OR15,2,13.428416828048043
20260724,US  13:30-20:00,ORB OR30,2,13.575741112347892
20260724,US  13:30-20:00,pullback OR15,2,18.37993673270884
20260724,US  13:30-20:00,pullback OR30,0,
20260724,US* 13:30-18:30,ORB OR15,2,13.428416828048043
20260724,US* 13:30-18:30,ORB OR30,2,13.575741112347892
20260724,US* 13:30-18:30,pullback OR15,2,18.37993673270884
20260724,US* 13:30-18:30,pullback OR30,0,
20260727,EU  07:00-16:00,ORB OR15,2,3.046084759273307
20260727,EU  07:00-16:00,ORB OR30,2,2.7795674583829237
20260727,EU  07:00-16:00,pullback OR15,2,3.99195514383215
20260727,EU  07:00-16:00,pullback OR30,2,3.786416614427087
20260727,EU- 07:00-13:30,ORB OR15,2,3.046084759273307
20260727,EU- 07:00-13:30,ORB OR30,2,2.7795674583829237
20260727,EU- 07:00-13:30,pullback OR15,2,3.99195514383215
20260727,EU- 07:00-13:30,pullback OR30,2,3.786416614427087
20260727,US  13:30-20:00,ORB OR15,2,14.691796998005795
20260727,US  13:30-20:00,ORB OR30,1,13.426752038067248
20260727,US  13:30-20:00,pullback OR15,2,26.29806514817549
20260727,US  13:30-20:00,pullback OR30,1,12.635142227353581
20260727,US* 13:30-18:30,ORB OR15,2,14.691796998005795
20260727,US* 13:30-18:30,ORB OR30,1,13.426752038067248
20260727,US* 13:30-18:30,pullback OR15,2,26.29806514817549
20260727,US* 13:30-18:30,pullback OR30,0,
20260728,EU  07:00-16:00,ORB OR15,2,4.5857066638052135
20260728,EU  07:00-16:00,ORB OR30,2,4.178104852771414
20260728,EU  07:00-16:00,pullback OR15,2,7.517906163654475
20260728,EU  07:00-16:00,pullback OR30,2,9.574544186420564
20260728,EU- 07:00-13:30,ORB OR15,2,4.5857066638052135
20260728,EU- 07:00-13:30,ORB OR30,2,4.178104852771414
20260728,EU- 07:00-13:30,pullback OR15,2,7.517906163654475
20260728,EU- 07:00-13:30,pullback OR30,2,9.574544186420564
20260728,US  13:30-20:00,ORB OR15,2,17.53928015459786
20260728,US  13:30-20:00,ORB OR30,2,14.146849893535169
20260728,US  13:30-20:00,pullback OR15,0,
20260728,US  13:30-20:00,pullback OR30,0,
20260728,US* 13:30-18:30,ORB OR15,2,17.53928015459786
20260728,US* 13:30-18:30,ORB OR30,2,14.146849893535169
20260728,US* 13:30-18:30,pullback OR15,0,
20260728,US* 13:30-18:30,pullback OR30,0,
20260729,EU  07:00-16:00,ORB OR15,2,5.037482691113628
20260729,EU  07:00-16:00,ORB OR30,2,5.2575741297807035
20260729,EU  07:00-16:00,pullback OR15,2,6.001701045695411
20260729,EU  07:00-16:00,pullback OR30,2,6.001701045695411
20260729,EU- 07:00-13:30,ORB OR15,2,5.037482691113628
20260729,EU- 07:00-13:30,ORB OR30,2,5.2575741297807035
20260729,EU- 07:00-13:30,pullback OR15,2,6.001701045695411
20260729,EU- 07:00-13:30,pullback OR30,2,6.001701045695411
20260729,US  13:30-20:00,ORB OR15,2,32.94303605335776
20260729,US  13:30-20:00,ORB OR30,2,13.577819836627842
20260729,US  13:30-20:00,pullback OR15,2,18.8009041656207
20260729,US  13:30-20:00,pullback OR30,2,17.545118582038548
20260729,US* 13:30-18:30,ORB OR15,1,18.557134022924792
20260729,US* 13:30-18:30,ORB OR30,2,13.577819836627842
20260729,US* 13:30-18:30,pullback OR15,2,18.8009041656207
20260729,US* 13:30-18:30,pullback OR30,2,17.545118582038548
20260730,EU  07:00-16:00,ORB OR15,2,7.227786723434074
20260730,EU  07:00-16:00,ORB OR30,2,6.1611309735001605
20260730,EU  07:00-16:00,pullback OR15,2,8.731753136286192
20260730,EU  07:00-16:00,pullback OR30,0,
20260730,EU- 07:00-13:30,ORB OR15,2,7.227786723434074
20260730,EU- 07:00-13:30,ORB OR30,2,6.1611309735001605
20260730,EU- 07:00-13:30,pullback OR15,2,8.731753136286192
20260730,EU- 07:00-13:30,pullback OR30,0,
20260730,US  13:30-20:00,ORB OR15,2,22.365823290289466
