pivot,stop,model,cost,n,per_sess,win,avg_w,avg_l,exp,pf,dd_pts,dd_usd,pnl,rev_pct,same_pct,pnl_rev,pnl_oth,tp_dist
3/3,0.5,A,none,1352,37.55555555555556,31.87869822485207,33.92512930303249,-16.142979649137985,-0.1819182893854137,0.9834571730876205,1462.3410858255374,29246.82171651075,-4919.070544981587,14.497041420118343,0.0,-58516.03975990052,53596.969214918936,33.032779048207885
3/3,0.5,A,commission,1352,37.55555555555556,31.87869822485207,33.70512930303248,-16.362979649137984,-0.40191828938541274,0.9639427633319433,1601.161085825544,32023.22171651088,-10867.87054498156,14.497041420118343,0.0,-59378.43975990052,48510.569214918956,33.032779048207885
3/3,0.5,A,comm+1tick,1352,37.55555555555556,31.65680473372781,33.43986098108912,-16.80914938003812,-0.9019182893854126,0.9214897830509797,1916.6610858255488,38333.221716510976,-24387.870544981557,14.497041420118343,0.0,-61338.43975990052,36950.569214918956,33.032779048207885
3/3,0.5,A,comm+2.1pt,1352,37.55555555555556,31.36094674556213,32.146298769994296,-18.33256918720545,-2.501918289385413,0.8011715602281714,3482.016972790868,69640.33945581736,-67651.87054498156,14.497041420118343,0.0,-67610.4397599005,-41.43078508104736,33.032779048207885
3/3,0.5,B,none,799,22.194444444444443,28.785982478097623,36.926931615542316,-15.045249934325966,-0.08454685989579887,0.9921089900941044,791.6366846798992,15832.733693597984,-1351.0588211348659,2.252816020025031,49.0613266583229,195.0,-1546.0588211348659,33.85287430711833
3/3,0.5,B,commission,799,22.194444444444443,28.785982478097623,36.7069316155423,-15.265249934325967,-0.3045468598957981,0.9719853810537487,859.6166846799001,17192.333693598004,-4866.6588211348535,2.252816020025031,49.0613266583229,115.79999999999991,-4982.458821134849,33.85287430711833
3/3,0.5,B,comm+1tick,799,22.194444444444443,28.785982478097623,36.2069316155423,-15.765249934325967,-0.804546859895798,0.9283386481134859,1014.1166846799036,20282.333693598073,-12856.658821134852,2.252816020025031,49.0613266583229,-64.19999999999999,-12792.45882113485,33.85287430711833
3/3,0.5,B,comm+2.1pt,799,22.194444444444443,28.53566958698373,34.919887156029525,-17.308173752419393,-2.4045468598957975,0.8056016073187815,2099.377676851704,41987.55353703408,-38424.65882113484,2.252816020025031,49.0613266583229,-640.2,-37784.458821134845,33.85287430711833
3/3,0.5,C,none,2061,57.25,29.500242600679282,29.28700657894737,-13.327942188575362,-0.7564289180009705,0.9194960109473032,2451.75,49035.0,-31180.0,21.300339640950995,47.69529354682193,-7390.0,-23790.0,33.25
3/3,0.5,C,commission,2061,57.25,29.500242600679282,29.067006578947364,-13.547942188575359,-0.9764289180009694,0.8977696904673369,2662.2900000000172,53245.800000000345,-40248.39999999996,21.300339640950995,47.69529354682193,-9321.6,-30926.799999999974,33.25
3/3,0.5,C,comm+1tick,2061,57.25,28.675400291120816,29.397597292724196,-13.889047619047618,-1.4764289180009693,0.8509607237141781,3408.9099999999817,68178.19999999963,-60858.39999999996,21.300339640950995,47.69529354682193,-13711.600000000002,-47146.799999999974,33.25
3/3,0.5,C,comm+2.1pt,2061,57.25,26.4919941775837,30.174047619047624,-15.059768976897686,-3.0764289180009694,0.7220965525705059,6533.709999999921,130674.19999999841,-126810.39999999995,21.300339640950995,47.69529354682193,-27759.6,-99050.79999999999,33.25
3/3,1.0,A,none,1088,30.22222222222222,43.106617647058826,33.89913981528239,-27.2031500140342,-0.8640195637129864,0.9441732139732005,1770.0703417654877,35401.406835309754,-18801.065706394584,23.897058823529413,0.0,-88382.49898046,69581.43327406542,32.6807084513548
3/3,1.0,A,commission,1088,30.22222222222222,43.106617647058826,33.67913981528238,-27.4231500140342,-1.0840195637129852,0.9305202852006984,1881.738610853923,37634.77221707846,-23588.26570639456,23.897058823529413,0.0,-89526.49898046002,65938.23327406544,32.6807084513548
3/3,1.0,A,comm+1tick,1088,30.22222222222222,42.7389705882353,33.466433416068334,-27.745272590355555,-1.5840195637129852,0.9002960432061559,2139.738610853923,42794.77221707846,-34468.26570639456,23.897058823529413,0.0,-92126.49898046002,57658.23327406543,32.6807084513548
3/3,1.0,A,comm+2.1pt,1088,30.22222222222222,42.37132352941177,32.14814092634102,-29.161891949542166,-3.184019563712985,0.8105383193012367,3718.132457287272,74362.64914574544,-69284.26570639455,23.897058823529413,0.0,-100446.49898045999,31162.233274065453,32.6807084513548
3/3,1.0,B,none,744,20.666666666666668,43.01075268817204,36.217096379479585,-28.12875417139116,-0.45311952585535603,0.9717336743157443,1123.0583858200953,22461.167716401906,-6742.418544727698,10.618279569892474,22.311827956989248,-15655.0,8912.581455272302,33.53144857052757
3/3,1.0,B,commission,744,20.666666666666668,43.01075268817204,35.99709637947958,-28.348754171391167,-0.6731195258553551,0.9583355848652445,1219.418385820101,24388.367716402023,-10016.018544727684,10.618279569892474,22.311827956989248,-16002.600000000002,5986.581455272317,33.53144857052757
3/3,1.0,B,comm+1tick,744,20.666666666666668,42.876344086021504,35.60906219885099,-28.78139239687025,-1.1731195258553553,0.9286466334832526,1438.4183858201013,28768.367716402026,-17456.018544727685,10.618279569892474,22.311827956989248,-16792.600000000002,-663.4185447276832,33.53144857052757
3/3,1.0,B,comm+2.1pt,744,20.666666666666668,42.60752688172043,34.23038120326015,-30.2441025027397,-2.7731195258553547,0.8402381988960625,2331.9566092048112,46639.13218409623,-41264.018544727674,10.618279569892474,22.311827956989248,-19320.600000000006,-21943.41854472768,33.53144857052757
3/3,1.0,C,none,1540,42.77777777777778,40.25974025974026,29.239112903225806,-20.969021739130437,-0.7553571428571428,0.9397014229064614,2633.75,52675.0,-23265.0,35.064935064935064,34.285714285714285,-47240.0,23975.0,33.5
3/3,1.0,C,commission,1540,42.77777777777778,40.25974025974026,29.019112903225803,-21.189021739130435,-0.9753571428571418,0.9229476913290823,2790.390000000012,55807.80000000024,-30040.999999999967,35.064935064935064,34.285714285714285,-49615.99999999999,19575.000000000007,33.5
3/3,1.0,C,comm+1tick,1540,42.77777777777778,38.896103896103895,29.53,-21.21202975557917,-1.4753571428571417,0.8861728051173016,3146.390000000012,62927.80000000024,-45440.99999999997,35.064935064935064,34.285714285714285,-55015.99999999999,9575.00000000001,33.5
3/3,1.0,C,comm+2.1pt,1540,42.77777777777778,35.97402597402598,30.2828880866426,-21.818225152129813,-3.075357142857141,0.7798493638894481,5144.270000000071,102885.40000000142,-94720.99999999994,35.064935064935064,34.285714285714285,-72296.0,-22424.999999999956,33.5
3/3,1.2,A,none,1029,28.583333333333332,45.481049562682216,33.79534432054324,-30.037506305793837,-1.0056558751565672,0.9385901504108769,1883.9227693060384,37678.45538612077,-20696.397910722153,26.53061224489796,0.0,-95683.66048716794,74987.26257644579,32.69150318733955
3/3,1.2,A,commission,1029,28.583333333333332,45.481049562682216,33.57534432054323,-30.257506305793832,-1.225655875156567,0.9257001507885214,1991.722769306051,39834.45538612102,-25223.997910722144,26.53061224489796,0.0,-96884.86048716793,71660.86257644581,32.69150318733955
3/3,1.2,A,comm+1tick,1029,28.583333333333332,45.09232264334305,33.3623622998245,-30.541302659565805,-1.725655875156567,0.8970956901037461,2236.722769306051,44734.455386121015,-35513.997910722144,26.53061224489796,0.0,-99614.86048716793,64100.862576445805,32.69150318733955
3/3,1.2,A,comm+2.1pt,1029,28.583333333333332,44.70359572400389,32.0437772515,-31.919573692840263,-3.3256558751565644,0.8115815901815856,3648.1503427703365,72963.00685540673,-68441.9979107221,26.53061224489796,0.0,-108350.86048716793,39908.86257644583,32.69150318733955
3/3,1.2,B,none,725,20.13888888888889,46.48275862068966,36.26984155905861,-32.69217456839415,-0.6367270719092128,0.9636071735009641,1324.5335048836278,26490.670097672555,-9232.542542683586,12.413793103448276,17.379310344827587,-22505.0,13272.457457316414,33.68984891485161
3/3,1.2,B,commission,725,20.13888888888889,46.48275862068966,36.049841559058606,-32.91217456839416,-0.8567270719092117,0.9513601537375207,1400.653504883634,28013.07009767268,-12422.54254268357,12.413793103448276,17.379310344827587,-22901.0,10478.457457316428,33.68984891485161
3/3,1.2,B,comm+1tick,725,20.13888888888889,46.3448275862069,35.65629942084152,-33.32684764148312,-1.3567270719092117,0.9241271041553241,1579.4039141325093,31588.078282650185,-19672.54254268357,12.413793103448276,17.379310344827587,-23801.0,4128.457457316426,33.68984891485161
3/3,1.2,B,comm+2.1pt,725,20.13888888888889,46.06896551724138,34.26663654312202,-34.75366683513281,-2.956727071909211,0.842249097165942,2333.4495004751116,46668.99000950223,-42872.54254268356,12.413793103448276,17.379310344827587,-26680.999999999993,-16191.542542683565,33.68984891485161
3/3,1.2,C,none,1471,40.861111111111114,42.62406526172671,29.208133971291865,-22.947274881516588,-0.7165193745751189,0.9455789337808184,2429.75,48595.0,-21080.0,39.360978925900746,32.97076818490823,-73900.0,52820.0,33.5
3/3,1.2,C,commission,1471,40.861111111111114,42.62406526172671,28.988133971291862,-23.167274881516587,-0.9365193745751178,0.9295449640416544,2578.6900000000114,51573.80000000023,-27552.399999999965,39.360978925900746,32.97076818490823,-76447.59999999999,48895.200000000026,33.5
3/3,1.2,C,comm+1tick,1471,40.861111111111114,41.196464989802855,29.486270627062705,-23.100346820809254,-1.4365193745751177,0.8942477654665745,2917.1900000000146,58343.800000000294,-42262.399999999965,39.360978925900746,32.97076818490823,-82237.59999999998,39975.20000000002,33.5
3/3,1.2,C,comm+2.1pt,1471,40.861111111111114,38.13732154996601,30.206292335115865,-23.530164835164832,-3.036519374575118,0.7913961270195612,4846.650000000076,96933.00000000151,-89334.39999999997,39.360978925900746,32.97076818490823,-100765.59999999999,11431.200000000033,33.5
5/5,0.5,A,none,1006,27.944444444444443,30.91451292246521,34.51888955743854,-16.31970082524472,-0.6031982317909492,0.9464991055303096,1151.4295607237036,23028.591214474072,-12136.348423633899,10.934393638170974,0.0,-36612.52651080795,24476.17808717405,31.128322800626847
5/5,0.5,A,commission,1006,27.944444444444443,30.91451292246521,34.298889557438535,-16.539700825244722,-0.8231982317909482,0.9279573042231145,1317.52956072372,26350.5912144744,-16562.74842363388,10.934393638170974,0.0,-37096.526510807955,20533.778087174065,31.128322800626847
5/5,0.5,A,comm+1tick,1006,27.944444444444443,30.81510934393638,33.90893338494542,-17.015670647291344,-1.323198231790948,0.8876004475104186,1718.256152454133,34365.12304908266,-26622.748423633875,10.934393638170974,0.0,-38196.526510807955,11573.778087174062,31.128322800626847
5/5,0.5,A,comm+2.1pt,1006,27.944444444444443,30.616302186878727,32.52345359479689,-18.56441422403887,-2.9231982317909475,0.7730555453865962,3183.6653856548423,63673.307713096845,-58814.748423633864,10.934393638170974,0.0,-41716.52651080796,-17098.221912825935,31.128322800626847
5/5,0.5,B,none,576,16.0,28.29861111111111,38.46366363342078,-14.939800605057632,0.17263805965066897,1.016116256719261,543.9907085785526,10879.814171571052,1988.7904471757065,0.8680555555555556,50.69444444444444,890.0,1098.7904471757065,33.67154501366167
5/5,0.5,B,commission,576,16.0,28.29861111111111,38.24366363342078,-15.159800605057633,-0.04736194034933004,0.9956427906275128,579.8544320674337,11597.088641348673,-545.6095528242821,0.8680555555555556,50.69444444444444,868.0000000000001,-1413.6095528242827,33.67154501366167
5/5,0.5,B,comm+1tick,576,16.0,28.29861111111111,37.74366363342078,-15.659800605057633,-0.5473619403493301,0.9512515512631633,694.3544320674334,13887.08864134867,-6305.609552824282,0.8680555555555556,50.69444444444444,818.0000000000001,-7123.609552824282,33.67154501366167
5/5,0.5,B,comm+2.1pt,576,16.0,28.29861111111111,36.143663633420786,-17.259800605057627,-2.1473619403493296,0.8264830484932812,1343.5814161471935,26871.62832294387,-24737.60955282428,0.8680555555555556,50.69444444444444,658.0,-25395.609552824288,33.67154501366167
5/5,0.5,C,none,1565,43.47222222222222,29.329073482428115,31.63562091503268,-13.853526220614828,-0.5119808306709265,0.9477059130661794,1345.5,26910.0,-16025.0,16.038338658146962,46.51757188498403,210.0,-16235.0,32.0
5/5,0.5,C,commission,1565,43.47222222222222,29.329073482428115,31.415620915032672,-14.073526220614829,-0.7319808306709258,0.9264036974504859,1492.2800000000316,29845.60000000063,-22910.999999999978,16.038338658146962,46.51757188498403,-894.3999999999977,-22016.59999999997,32.0
5/5,0.5,C,comm+1tick,1565,43.47222222222222,29.009584664536742,31.259625550660786,-14.50937893789379,-1.2319808306709255,0.8803933270140296,2204.280000000026,44085.60000000052,-38560.99999999997,16.038338658146962,46.51757188498403,-3404.399999999997,-35156.59999999997,32.0
5/5,0.5,C,comm+2.1pt,1565,43.47222222222222,27.731629392971247,31.074009216589864,-15.842767462422634,-2.8319808306709255,0.7526505217887766,4599.250000000098,91985.00000000196,-88640.99999999997,16.038338658146962,46.51757188498403,-11436.400000000001,-77204.59999999998,32.0
5/5,1.0,A,none,792,22.0,43.93939393939394,34.723126782828004,-28.135384393023603,-0.5157355430281985,0.96730235899664,981.8672550778465,19637.34510155693,-8169.251001566663,18.055555555555554,0.0,-51509.94453701496,43340.6935354483,31.460314951269538
5/5,1.0,A,commission,792,22.0,43.93939393939394,34.503126782828005,-28.355384393023613,-0.7357355430281974,0.9537162638102002,1079.763083434856,21595.261668697123,-11654.051001566648,18.055555555555554,0.0,-52139.14453701496,40485.09353544831,31.460314951269538
5/5,1.0,A,comm+1tick,792,22.0,43.813131313131315,34.102025410356894,-28.791248016791414,-1.2357355430281973,0.9236111066832856,1429.2630834348602,28585.261668697203,-19574.051001566648,18.055555555555554,0.0,-53569.14453701496,33995.09353544831,31.460314951269538
5/5,1.0,A,comm+2.1pt,792,22.0,43.56060606060606,32.694848772072866,-30.258669745958542,-2.8357355430281967,0.8339520364071413,2590.967895748647,51819.35791497294,-44918.05100156664,18.055555555555554,0.0,-58145.14453701494,13227.093535448312,31.460314951269538
5/5,1.0,B,none,544,15.11111111111111,44.11764705882353,37.87716752071139,-28.31802330422884,0.8857373538330248,1.0559715510075793,583.6484630005871,11672.969260011741,9636.822409703309,6.4338235294117645,22.794117647058822,-6305.0,15941.822409703309,33.20710320647413
5/5,1.0,B,commission,544,15.11111111111111,44.11764705882353,37.657167520711376,-28.538023304228844,0.6657373538330259,1.0417449892229782,592.8884630005871,11857.76926001174,7243.222409703321,6.4338235294117645,22.794117647058822,-6459.000000000001,13702.222409703314,33.20710320647413
