setname,family,day,R,naive_R,risk_bps,mins,or_ratio,ambiguous,cost_risk,gross_R,grade,year
ORB OR15 R3,ORB,2025-05-13,2.9241127220292125,2.9241127220292125,8.78495954120506,20.0,0.8585727408022137,False,7.58872779709146,3.000000000000127,B,2025
ORB OR15 R3,ORB,2025-05-14,-1.0679446471419585,-1.0679446471419585,9.811908586025686,16.0,0.771996973229074,False,6.794464714195836,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-14,-1.0594121670949208,-1.0594121670949208,11.221046113358517,31.0,0.771996973229074,False,5.94121670949207,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-15,-1.066682965598761,-1.066682965598761,9.997555757763886,16.0,0.5070601338049163,False,6.668296559876126,-0.9999999999999998,B,2025
ORB OR15 R3,ORB,2025-05-15,-1.069182036136668,-1.069182036136668,9.636412917215628,27.0,0.5070601338049163,False,6.91820361366681,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-05-16,2.8859121212619354,2.8859121212619354,5.8434486997279835,64.0,0.6925455057393479,False,11.408787873806448,3.0,B,2025
ORB OR15 R3,ORB,2025-05-16,-1.084491728683967,-1.0914654123681862,7.890318698061774,81.0,0.6925455057393479,False,8.449172868396694,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-19,2.9405853196381306,2.9405853196381306,11.22057145820333,15.0,1.2089139686400554,False,5.94146803618695,3.0,A,2025
ORB OR15 R3,ORB,2025-05-19,0.16850128183619417,15.393156111939353,53.82767449699342,171.0,1.2089139686400554,False,1.238520283286442,0.1808864846690586,A,2025
ORB OR15 R3,ORB,2025-05-20,-1.0741691757898064,-1.0741691757898064,8.988459957489393,17.0,0.41793385816011475,False,7.416917578980642,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-20,-1.0700968188105096,-1.0700968188105096,9.510655090765889,28.0,0.41793385816011475,False,7.009681881050955,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-21,2.929604745104054,2.929604745104054,9.470335289673907,16.0,0.8890258595714806,False,7.0395254895945945,3.0,B,2025
ORB OR15 R3,ORB,2025-05-21,-1.0413109114794474,-1.0816075874333184,16.137786429581432,228.0,0.8890258595714806,False,4.131091147944745,-1.0,B,2025
ORB OR15 R3,ORB,2025-05-22,2.957769076614768,2.957769076614768,15.786220457111904,22.0,1.0492872159397542,False,4.2230923385231485,2.9999999999999996,A+,2025
ORB OR15 R3,ORB,2025-05-22,-1.0491874391333456,-1.0721298353887856,13.553595763734599,53.0,1.0492872159397542,False,4.918743913334563,-0.9999999999999999,A+,2025
ORB OR15 R3,ORB,2025-05-23,-1.0435617575996199,-1.0435617575996199,15.303943261290364,42.0,1.3187038067695807,False,4.356175759961987,-1.0,A+,2025
ORB OR15 R3,ORB,2025-05-23,-1.0366113159619206,-1.0390049567225903,18.209306307374128,47.0,1.3187038067695807,False,3.661131596192054,-1.0,A+,2025
ORB OR15 R3,ORB,2025-05-27,2.923191107043604,2.923191107043604,8.679550518260035,25.0,0.9052141443576436,False,7.680889295639604,3.0,B,2025
ORB OR15 R3,ORB,2025-05-28,2.9145601308971862,2.9145601308971862,7.80275852090127,18.0,0.7532769073887662,False,8.543986910281344,2.9999999999999996,B,2025
ORB OR15 R3,ORB,2025-05-29,-1.0558493649260907,-1.0558493649260907,11.936871037815973,15.0,1.5510358503854873,False,5.584936492609065,-1.0,A,2025
ORB OR15 R3,ORB,2025-05-29,2.93479155051725,2.93479155051725,10.223623962152752,26.0,1.5510358503854873,False,6.520844948274967,3.0,A,2025
ORB OR15 R3,ORB,2025-05-30,-1.1471085294741081,-1.1471085294741081,11.467349453258628,15.0,0.9737500632909653,False,5.813607315134387,-1.0889724563227643,B,2025
ORB OR15 R3,ORB,2025-05-30,-1.0569622025047836,-1.0569622025047836,11.703667297813489,17.0,0.9737500632909653,False,5.696220250478371,-0.9999999999999999,B,2025
ORB OR15 R3,ORB,2025-06-02,-1.062232409003274,-1.062232409003274,10.712531900084315,30.0,1.7599199461182609,False,6.223240900327397,-1.0,A,2025
ORB OR15 R3,ORB,2025-06-02,-1.049805972017606,-1.049805972017606,13.385275694067447,41.0,1.7599199461182609,False,4.980597201760613,-0.9999999999999999,A+,2025
ORB OR15 R3,ORB,2025-06-03,-1.0643391705069103,-1.0643391705069103,10.361754144702006,18.0,0.8488335889126529,False,6.433917050691029,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-03,-1.0807495662232591,-1.0807495662232591,8.255978302390435,24.0,0.8488335889126529,False,8.07495662232591,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-04,-1.0969822202630108,-1.0969822202630108,6.874112232723693,30.0,0.7318679976360124,False,9.698222026301089,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-04,2.9161888888888807,2.9161888888888807,7.954394803127953,32.0,0.7318679976360124,False,8.38111111111193,3.0,B,2025
ORB OR15 R3,ORB,2025-06-05,-1.053666288768326,-1.053666288768326,12.422447722156216,15.0,1.0177017444681762,False,5.366628876832582,-1.0,A,2025
ORB OR15 R3,ORB,2025-06-05,-1.066720150509824,-1.066720150509824,9.991983854540399,37.0,1.0177017444681762,False,6.6720150509824,-1.0,A,2025
ORB OR15 R3,ORB,2025-06-06,-1.0680577849117123,-1.0680577849117123,9.795597484277474,15.0,0.8085770195807555,False,6.805778491171233,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-06,-1.220500830836487,-1.220500830836487,7.021037735849207,59.0,0.8085770195807555,False,9.49527251879999,-1.1255481056484873,B,2025
ORB OR15 R3,ORB,2025-06-09,-1.088104467628072,-1.088104467628072,7.56677481420082,22.0,0.6124319483999134,False,8.8104467628072,-1.0,B,2025
ORB OR15 R3,ORB,2025-06-09,2.881797101449267,2.881797101449267,5.640019617459127,39.0,0.6124319483999134,False,11.820289855073328,3.0,B,2025
