session,instrument_id,volume,volume_front,rth_prints,off_tick,first_rth,last_rth,rth_side_N,monotonic,rth_minutes_missing,max_rth_gap_s,recon_volume,cleared_volume,recon_dev,ok_grid,ok_full_cash,ok_side_N,ok_monotonic,ok_dup_dates,ok_prior_use,ok_coverage,ok_gaps,ok_volume,ok_roll_lag,passes,passes_ex_volume
2026-05-13,42004058,559962,559962,272946,0,09:30:00.000844,15:59:59.999525,0,True,0,4.442946328,559962,570739.0,-0.01888253650092253,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-14,42004058,601457,601457,287876,0,09:30:00.000067,15:59:59.999615,0,True,0,4.4524506,601457,611771.0,-0.016859249621181793,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-15,42004058,739183,739183,338611,0,09:30:00.000314,15:59:59.999523,0,True,0,3.539345838,739183,750779.0,-0.015445290824596891,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-18,42004058,838221,838221,411414,0,09:30:00.000503,15:59:59.999521,0,True,0,4.161472588,838221,854443.0,-0.018985467725758154,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-19,42004058,705989,705989,374092,0,09:30:00.000085,15:59:59.999521,0,True,0,5.111788768,705989,717466.0,-0.01599657684127187,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-20,42004058,594556,594556,303409,0,09:30:00.002808,15:59:59.999520,0,True,0,4.478818284,594556,606377.0,-0.01949447291041717,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-21,42004058,603451,603451,321423,0,09:30:00.002179,15:59:59.999522,0,True,0,3.54704064,603451,612220.0,-0.014323282480154242,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-22,42004058,482942,482942,243888,0,09:30:00.001912,15:59:59.999522,0,True,0,4.899640808,482942,495134.0,-0.024623637237596308,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-25,42004058,125160,125160,27298,0,09:30:00.003508,12:59:58.895488,0,True,180,29.138640972,125160,,,True,False,True,True,True,True,False,True,False,True,False,False
2026-05-26,42004058,532832,532832,269484,0,09:30:00.001329,15:59:59.999525,0,True,0,5.372780648,657992,668516.0,-0.015742330774431768,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-27,42004058,625014,625014,314668,0,09:30:00.003056,15:59:59.999300,0,True,0,4.013170934,625014,637375.0,-0.01939360658952738,True,True,True,True,True,True,True,True,True,True,True,True
2026-05-28,42004058,546308,546308,255674,0,09:30:00.000073,15:59:59.999523,0,True,0,4.446607142,546308,564551.0,-0.032314175335797835,True,True,True,True,True,True,True,True,False,True,False,True
2026-05-29,42004058,564469,564469,299066,0,09:30:00.000087,15:59:59.999995,0,True,0,5.333384208,564469,578992.0,-0.025083248127780733,True,True,True,True,True,True,True,True,False,True,False,True
