time,price,volume,aggressor
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,B
2026-09-10 05:28:40.985,29485,1,S
2026-09-10 05:28:40.986,29485,1,S
2026-09-10 05:28:40.986,29485,1,S
2026-09-10 05:28:40.986,29485,2,S
2026-09-10 05:28:40.987,29480,1,S
2026-09-10 05:28:40.989,29485,1,B
2026-09-10 05:28:40.990,29485,1,B
2026-09-10 05:28:40.990,29485,1,B
2026-09-10 05:28:40.990,29485,1,B
2026-09-10 05:28:40.990,29485,1,B
2026-09-10 05:28:40.993,29485,1,S
2026-09-10 05:28:40.996,29485,1,S
2026-09-10 05:28:40.996,29485,1,S
2026-09-10 05:28:40.999,29485,1,S
2026-09-10 05:28:40.999,29485,1,S
2026-09-10 05:28:40.999,29485,1,B
2026-09-10 05:28:41.000,29485,1,B
2026-09-10 05:28:41.004,29485,1,S
2026-09-10 05:28:41.004,29485,1,S
2026-09-10 05:28:41.004,29485,1,S
2026-09-10 05:28:41.006,29485,1,B
2026-09-10 05:28:41.007,29485,1,S
2026-09-10 05:28:41.007,29485,1,B
2026-09-10 05:28:41.009,29480,1,S
2026-09-10 05:28:41.009,29485,1,B
2026-09-10 05:28:41.009,29485,1,B
2026-09-10 05:28:41.009,29485,1,B
2026-09-10 05:28:41.009,29485,1,B
2026-09-10 05:28:41.012,29485,1,B
2026-09-10 05:28:41.012,29485,1,B
2026-09-10 05:28:41.014,29480,1,S
2026-09-10 05:28:41.017,29485,1,B
2026-09-10 05:28:41.018,29485,1,B
2026-09-10 05:28:41.022,29485,1,S
2026-09-10 05:28:41.023,29485,1,S
2026-09-10 05:28:41.023,29485,1,S
2026-09-10 05:28:41.023,29485,1,S
2026-09-10 05:28:41.025,29485,1,S
2026-09-10 05:28:41.026,29485,1,S
2026-09-10 05:28:41.027,29485,1,B
2026-09-10 05:28:41.028,29485,1,B
2026-09-10 05:28:41.031,29485,1,B
2026-09-10 05:28:41.031,29485,1,S
2026-09-10 05:28:41.032,29485,1,S
2026-09-10 05:28:41.034,29485,2,B
2026-09-10 05:28:41.036,29485,1,S
2026-09-10 05:28:41.038,29485,1,S
2026-09-10 05:28:41.038,29485,1,S
2026-09-10 05:28:41.039,29485,1,S
2026-09-10 05:28:41.041,29485,1,S
2026-09-10 05:28:41.043,29485,1,S
2026-09-10 05:28:41.045,29485,1,B
2026-09-10 05:28:41.046,29485,1,S
2026-09-10 05:28:41.047,29485,1,B
2026-09-10 05:28:41.053,29485,1,S
2026-09-10 05:28:41.053,29485,1,B
2026-09-10 05:28:41.055,29485,1,B
2026-09-10 05:28:41.055,29485,1,B
2026-09-10 05:28:41.055,29485,1,S
2026-09-10 05:28:41.055,29485,1,S
2026-09-10 05:28:41.057,29485,1,S
2026-09-10 05:28:41.057,29485,1,S
2026-09-10 05:28:41.058,29485,1,S
2026-09-10 05:28:41.058,29485,1,S
2026-09-10 05:28:41.060,29485,2,B
2026-09-10 05:28:41.060,29485,1,B
2026-09-10 05:28:41.063,29485,1,B
2026-09-10 05:28:41.068,29485,5,B
2026-09-10 05:28:41.068,29485,2,B
2026-09-10 05:28:41.069,29485,1,B
2026-09-10 05:28:41.070,29485,1,S
2026-09-10 05:28:41.070,29485,1,S
2026-09-10 05:28:41.074,29485,1,B
2026-09-10 05:28:41.086,29485,1,S
2026-09-10 05:28:41.099,29485,1,B
2026-09-10 05:28:41.099,29485,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.103,29490,1,B
2026-09-10 05:28:41.105,29490,1,S
2026-09-10 05:28:41.106,29490,1,S
2026-09-10 05:28:41.106,29490,1,S
2026-09-10 05:28:41.106,29490,1,S
2026-09-10 05:28:41.107,29490,1,S
2026-09-10 05:28:41.108,29490,1,S
2026-09-10 05:28:41.108,29490,1,S
2026-09-10 05:28:41.116,29490,1,S
2026-09-10 05:28:41.116,29490,1,S
2026-09-10 05:28:41.126,29490,1,S
2026-09-10 05:28:41.130,29490,1,S
2026-09-10 05:28:41.130,29490,1,S
2026-09-10 05:28:41.131,29490,2,S
2026-09-10 05:28:41.131,29485,1,S
2026-09-10 05:28:41.131,29485,1,S
